vsw,idw,vgs,gm,gds,vsr,gm_full,margin,margin_vth,cgs,cgd,cdb,csb
2.00000000e-01,1.00000000e-01,5.91722812e-01,2.44180333e+01,1.74830685e+00,9.90675608e+01,2.39492389e+01,3.32342048e-01,4.64204074e-01,3.63161459e-09,1.13597974e-09,5.57227248e-10,5.57227248e-10
2.00000000e-01,1.12201845e-01,5.96040284e-01,2.43478974e+01,1.74222039e+00,9.90590348e+01,2.38818367e+01,3.36323954e-01,4.63698874e-01,3.25620504e-09,1.01123967e-09,4.97250781e-10,4.97250781e-10
2.00000000e-01,1.25892541e-01,6.00370064e-01,2.42774326e+01,1.73611273e+00,9.90501583e+01,2.38150766e+01,3.40279748e-01,4.63191616e-01,2.91937459e-09,9.00204070e-10,4.43718861e-10,4.43718861e-10
2.00000000e-01,1.41253754e-01,6.04712032e-01,2.42068479e+01,1.72999633e+00,9.90409169e+01,2.37489598e+01,3.44205886e-01,4.62682326e-01,2.61718591e-09,8.01371433e-10,3.95941165e-10,3.95941165e-10
2.00000000e-01,1.58489319e-01,6.09066368e-01,2.41364086e+01,1.72388761e+00,9.90318529e+01,2.36834031e+01,3.48098902e-01,4.62170997e-01,2.34608345e-09,7.13398465e-10,3.53298319e-10,3.53298319e-10
2.00000000e-01,1.77827941e-01,6.13433505e-01,2.40661190e+01,1.71778442e+00,9.90215265e+01,2.36182249e+01,3.51955369e-01,4.61657598e-01,2.10286601e-09,6.35086512e-10,3.15236082e-10,3.15236082e-10
2.00000000e-01,1.99526231e-01,6.17813259e-01,2.39962827e+01,1.71170622e+00,9.90110433e+01,2.35531442e+01,3.55771140e-01,4.61142169e-01,1.88469672e-09,5.65380531e-10,2.81265576e-10,2.81265576e-10
2.00000000e-01,2.23872114e-01,6.22206136e-01,2.39270032e+01,1.70565826e+00,9.90002650e+01,2.34877475e+01,3.59542521e-01,4.60624675e-01,1.68899727e-09,5.03331285e-10,2.50945534e-10,2.50945534e-10
2.00000000e-01,2.51188643e-01,6.26612495e-01,2.38583488e+01,1.69964367e+00,9.89891253e+01,2.34214893e+01,3.63265550e-01,4.60105102e-01,1.51346603e-09,4.48098005e-10,2.23884145e-10,2.23884145e-10
2.00000000e-01,2.81838293e-01,6.31032654e-01,2.37903322e+01,1.69366205e+00,9.89775880e+01,2.33536819e+01,3.66936129e-01,4.59583444e-01,1.35604247e-09,3.98934065e-10,1.99732566e-10,1.99732566e-10
